Date,Open,High,Low,Close,Volume
01/02/2019 05:00:00,1.1269,1.1269,1.1261,1.1267,4946
02/01/2019 06:00:00,1.1267,1.1271,1.1263,1.1264,7824
02/01/2019 07:00:00,1.1265,1.1265,1.1234,1.1236,15049
02/01/2019 08:00:00,1.1236,1.1246,1.1226,1.1246,13246
02/01/2019 09:00:00,1.1246,1.1258,1.1242,1.1257,8082
02/01/2019 10:00:00,1.1257,1.1262,1.1254,1.1256,8234
02/01/2019 11:00:00,1.1256,1.1258,1.1242,1.1243,8500
02/01/2019 12:00:00,1.1242,1.1243,1.1231,1.1238,17499
02/01/2019 13:00:00,1.1238,1.1246,1.123,1.123,21078
02/01/2019 14:00:00,1.1231,1.1238,1.1221,1.1222,24452
02/01/2019 15:00:00,1.1222,1.1231,1.1221,1.1227,13645
02/01/2019 16:00:00,1.1227,1.1228,1.1218,1.1226,13864
02/01/2019 17:00:00,1.1227,1.1236,1.1219,1.1231,10630
02/01/2019 18:00:00,1.1231,1.1243,1.1231,1.1238,9726
02/01/2019 19:00:00,1.1238,1.1239,1.1233,1.1234,9462
02/01/2019 20:00:00,1.1234,1.1237,1.1229,1.123,3662
02/01/2019 21:00:00,1.123,1.1233,1.1183,1.1197,10104
02/01/2019 22:00:00,1.1197,1.1213,1.1184,1.119,14013
02/01/2019 23:00:00,1.1191,1.1213,1.1188,1.1205,7235
03/01/2019 00:00:00,1.1205,1.1209,1.1197,1.1205,4953
03/01/2019 01:00:00,1.1205,1.1219,1.1205,1.1212,5042
03/01/2019 02:00:00,1.1212,1.1222,1.121,1.1215,4240
03/01/2019 03:00:00,1.1215,1.1216,1.1212,1.1212,2075
03/01/2019 04:00:00,1.1212,1.1213,1.12,1.1204,4111
03/01/2019 05:00:00,1.1204,1.1206,1.1194,1.1202,3776
03/01/2019 06:00:00,1.1202,1.1221,1.12,1.1218,11957
03/01/2019 07:00:00,1.1218,1.1231,1.1215,1.1221,16789
03/01/2019 08:00:00,1.122,1.1231,1.1217,1.1223,10724
03/01/2019 09:00:00,1.1222,1.1238,1.1218,1.1234,9547
03/01/2019 10:00:00,1.1234,1.1236,1.1218,1.1223,10277
03/01/2019 11:00:00,1.1223,1.1228,1.1221,1.1223,7501
03/01/2019 12:00:00,1.1223,1.1233,1.1216,1.1233,16183
03/01/2019 13:00:00,1.1233,1.1248,1.1233,1.1241,18617
03/01/2019 14:00:00,1.1241,1.1271,1.1231,1.127,48849
03/01/2019 15:00:00,1.127,1.1276,1.1265,1.127,34854
03/01/2019 16:00:00,1.127,1.1275,1.1266,1.1273,17126
03/01/2019 17:00:00,1.1273,1.1277,1.1265,1.1275,12319
03/01/2019 18:00:00,1.1275,1.1278,1.1264,1.1264,12590
03/01/2019 19:00:00,1.1264,1.1266,1.126,1.1261,12661
03/01/2019 20:00:00,1.1261,1.1261,1.124,1.1243,5066
03/01/2019 21:00:00,1.1243,1.1245,1.1236,1.1243,6895
03/01/2019 22:00:00,1.1244,1.1251,1.1242,1.1246,4251
03/01/2019 23:00:00,1.1246,1.1251,1.1245,1.1248,4147
04/01/2019 00:00:00,1.1248,1.125,1.1241,1.125,3455
04/01/2019 01:00:00,1.125,1.1253,1.1246,1.1246,1620
04/01/2019 02:00:00,1.1246,1.1253,1.1243,1.125,2107
04/01/2019 03:00:00,1.125,1.1255,1.1248,1.1253,1945
04/01/2019 04:00:00,1.1253,1.1253,1.1244,1.1245,1576
04/01/2019 05:00:00,1.1245,1.1245,1.1239,1.1243,1994
04/01/2019 06:00:00,1.1243,1.1257,1.1239,1.1257,6624
04/01/2019 07:00:00,1.1257,1.1258,1.1246,1.1248,8203
04/01/2019 08:00:00,1.1249,1.1258,1.1245,1.1254,8366
04/01/2019 09:00:00,1.1254,1.1269,1.1254,1.1262,8996
04/01/2019 10:00:00,1.1262,1.1267,1.1259,1.1263,6211
04/01/2019 11:00:00,1.1263,1.1267,1.1256,1.1259,6360
04/01/2019 12:00:00,1.1258,1.1259,1.1247,1.1249,23173
04/01/2019 13:00:00,1.1249,1.1252,1.1235,1.1238,23703
04/01/2019 14:00:00,1.1239,1.1259,1.1231,1.1246,37692
04/01/2019 15:00:00,1.1246,1.1256,1.1246,1.125,22215
04/01/2019 16:00:00,1.125,1.125,1.1238,1.1246,13906
04/01/2019 17:00:00,1.1246,1.1253,1.1244,1.1246,8124
04/01/2019 18:00:00,1.1246,1.1248,1.1239,1.1244,11761
04/01/2019 19:00:00,1.1244,1.125,1.1244,1.1247,5385
04/01/2019 20:00:00,1.1247,1.1249,1.1241,1.1243,3045
04/01/2019 21:00:00,1.1241,1.1243,1.1241,1.1242,11
04/01/2019 22:00:00,1.1227,1.1227,1.1227,1.1227,2
06/01/2019 21:00:00,1.1234,1.1244,1.123,1.1237,49
06/01/2019 22:00:00,1.1251,1.126,1.1248,1.1249,6969
06/01/2019 23:00:00,1.1249,1.1249,1.1241,1.1241,3268
07/01/2019 00:00:00,1.1241,1.1247,1.1239,1.1242,2679
07/01/2019 01:00:00,1.1242,1.1243,1.1241,1.1242,1538
07/01/2019 02:00:00,1.1242,1.1244,1.124,1.1244,2209
07/01/2019 03:00:00,1.1244,1.1249,1.1243,1.1245,2349
07/01/2019 04:00:00,1.1245,1.1246,1.1241,1.1246,1335
07/01/2019 05:00:00,1.1246,1.1247,1.1237,1.1238,2422
07/01/2019 06:00:00,1.1238,1.1253,1.1234,1.1253,8498
07/01/2019 07:00:00,1.1253,1.1255,1.124,1.1249,9998
07/01/2019 08:00:00,1.1249,1.1251,1.124,1.1241,6871
07/01/2019 09:00:00,1.1241,1.1245,1.1234,1.1241,5384
07/01/2019 10:00:00,1.1241,1.1242,1.1232,1.1234,4469
07/01/2019 11:00:00,1.1234,1.1236,1.1228,1.1229,7747
07/01/2019 12:00:00,1.1229,1.1234,1.1226,1.123,12543
07/01/2019 13:00:00,1.123,1.1239,1.1229,1.1231,13172
07/01/2019 14:00:00,1.1231,1.1255,1.1225,1.1254,21751
07/01/2019 15:00:00,1.1253,1.1257,1.1241,1.1248,14178
07/01/2019 16:00:00,1.1248,1.125,1.1237,1.125,8109
07/01/2019 17:00:00,1.125,1.1255,1.1246,1.1247,8110
07/01/2019 18:00:00,1.1247,1.1251,1.1244,1.1245,5816
07/01/2019 19:00:00,1.1245,1.1246,1.1241,1.1243,4905
07/01/2019 20:00:00,1.1242,1.1243,1.1239,1.124,1790
07/01/2019 21:00:00,1.1241,1.1244,1.1235,1.1243,3960
07/01/2019 22:00:00,1.1243,1.1243,1.1237,1.1241,4476
07/01/2019 23:00:00,1.1241,1.1246,1.1237,1.1237,3124
08/01/2019 00:00:00,1.1237,1.1239,1.1228,1.1229,4479
08/01/2019 01:00:00,1.1229,1.1235,1.1228,1.1229,3008
08/01/2019 02:00:00,1.1229,1.1233,1.1226,1.1233,2582
08/01/2019 03:00:00,1.1233,1.1236,1.1228,1.123,2576
08/01/2019 04:00:00,1.123,1.123,1.1226,1.1229,2115
08/01/2019 05:00:00,1.1229,1.1231,1.1226,1.1227,2248
08/01/2019 06:00:00,1.1227,1.1231,1.122,1.1224,9504
08/01/2019 07:00:00,1.1224,1.1235,1.122,1.1227,7734
08/01/2019 08:00:00,1.1227,1.1232,1.1223,1.1227,5776
08/01/2019 09:00:00,1.1227,1.1229,1.1222,1.1226,7222
08/01/2019 10:00:00,1.1226,1.1234,1.1224,1.123,6748
08/01/2019 11:00:00,1.123,1.1235,1.1223,1.1233,7084
08/01/2019 12:00:00,1.1233,1.1238,1.1228,1.1232,15628
08/01/2019 13:00:00,1.1232,1.1236,1.1225,1.1228,11223
08/01/2019 14:00:00,1.1228,1.1231,1.1222,1.1229,15096
08/01/2019 15:00:00,1.123,1.123,1.1221,1.1228,10783
08/01/2019 16:00:00,1.1228,1.1235,1.1225,1.1234,6650
08/01/2019 17:00:00,1.1234,1.1236,1.1227,1.1228,5920
08/01/2019 18:00:00,1.1228,1.1229,1.1225,1.1227,4607
08/01/2019 19:00:00,1.1227,1.1231,1.1227,1.1228,3708
08/01/2019 20:00:00,1.1228,1.1231,1.1227,1.1227,2340
08/01/2019 21:00:00,1.1227,1.123,1.1222,1.1228,2498
08/01/2019 22:00:00,1.1228,1.1238,1.1228,1.1236,2731
08/01/2019 23:00:00,1.1236,1.1238,1.1234,1.1234,2940
09/01/2019 00:00:00,1.1234,1.1239,1.1233,1.1239,2655
09/01/2019 01:00:00,1.1239,1.1242,1.1237,1.1239,2503
